V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1.1,Q1.2,Q1.3_1_TEXT,Q1.3_2_TEXT,Q1.3_3_TEXT,Q1.3_4_TEXT,Q1.3_5_TEXT,Q1.3_6_TEXT,Q1.3_7_TEXT,Q1.4,Q1.5_1,Q1.5_2,Q1.5_3,Q1.5_4,Q1.5_5,Q1.5_6,Q1.5_7,Q1.5_7_TEXT,Q1.6,Q1.6_TEXT,Q2.1,Q2.2_1,Q2.2_2,Q2.2_3,Q2.3_1,Q2.3_2,Q2.3_3,Q2.3_4,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7_1,Q4.7_3,Q4.7_4,Q4.7_5,Q4.7_6,Q4.7_7,Q4.8,Q4.9,Q4.10,Q5.1,Q5.2,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.4,Q5.5_1,Q5.5_2,Q5.5_3,Q5.5_4,Q5.6,Q5.7_1,Q5.7_2,Q5.7_3,Q5.7_4,Q6.1,Q6.2,Q6.3_1,Q6.3_2,Q6.3_3,Q6.3_4,Q6.4,Q6.5_1,Q6.5_2,Q6.5_3,Q6.5_4,Q6.6,Q6.7_1,Q6.7_2,Q6.7_3,Q6.7_4,Q7.1,Q7.2,Q7.3_1,Q7.3_2,Q7.3_3,Q7.3_4,Q7.4,Q7.5_1,Q7.5_2,Q7.5_3,Q7.5_4,Q7.6,Q7.7_1,Q7.7_2,Q7.7_3,Q7.7_4,Q8.1,Q8.2,Q8.3_1,Q8.3_2,Q8.3_3,Q8.3_4,Q8.4,Q8.5_1,Q8.5_2,Q8.5_3,Q8.5_4,Q8.6,Q8.7_1,Q8.7_2,Q8.7_3,Q8.7_4,Q9.1,Q9.2,Q9.3,Q9.4,Q9.5,Q9.6,Q9.7,Q10.1,Q10.2,Q10.3,Q10.4,Q105,Q10.5,Q10.6,Q10.7,Q10.8,Q10.9,Q10.10,Q10.11,Q10.12,Q10.13,Q10.14,Q10.15,Q11.1,Q11.2_1,Q11.2_2,Q11.2_3,Q11.2_4,Q12.1,Q12.2_1,Q12.2_3,Q12.2_4,Q12.2_5,Q12.3_1,Q12.3_3,Q12.3_4,Q12.3_5,Q12.4_1,Q12.4_2,Q12.4_3,Q12.4_4,Q12.5_1,Q12.5_3,Q12.5_4,Q12.6_1,Q12.6_3,Q12.6_4,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5_1,Q13.5_2,Q13.5_3,Q13.5_4,Q13.5_5,Q13.5_6,Q13.5_7,Q13.5_8,Q13.5_9,Q13.5_10,Q13.5_11,Q13.5_11_TEXT,Q13.6_1,Q13.6_2,Q13.6_3,Q13.6_4,Q13.6_5,Q13.6_6,Q13.6_7,Q13.6_8,Q13.6_8_TEXT,Q13.7,Q13.8_1,Q13.8_2,Q13.8_4,Q13.8_5,Q13.8_6,Q13.8_7,Q13.8_8,Q13.8_8_TEXT,Q13.9,Q13.10,Q13.11,Q13.12,Q13.13,Q13.13_TEXT,Q13.14,Q13.15,Q13.16,DO-BR-FL_33,DO-BR-FL_41,DO-BR-FL_40,DO-BR-FL_30,DO-BL-Opinioncredibility,DO-BL-EFSAReputationbarometer,survey.name
R_2pPM6wuwCa4tafY,Default Response Set,Anonymous,,,,0,5/2/2019 14:47,5/2/2019 14:54,0,1,1,Chrome,73.0.3683.103,Windows NT 10.0,1920x1080,-1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",1,,,1,,,,1,Animal Welfare,5,,1,10,10,9,12,9,12,12,6.592,10.601,11.273,4,,,,,,,,,,,,,1,10,1,11,10,1,9,2,6,1,10,1,13,13,3,1,1,0,0,10.122,0,1,0,0,5.115,0,1,0,0,3.044,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,8,8,5,6,10,1,10,8,7,8,7,7,8,8,8,10,7,6,8,7,8,Food Safety standards,1.623,6.66,17.541,5,1,12,12,12,11,9,9,9,9,1,1,6,5,12,12,12,12,12,12,1,2,2,3,,,,,,,,,,,1,Philosophy,,,,,,,,1,Policy,2,,,,1,,,,,2,,2,,2,,2,,,Opinion about EU - treatment,Case - treatment - low risk,,EFSA Reputation barometer,Q9.1|Q9.2|Q9.5|Q9.4|Q9.3|Q9.6|Q9.7,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.13|Q10.15|Q10.11|Q10.9|Q10.8|Q10.10|Q10.7|Q10.12|Q10.5|Q10.6|Q10.14,EFSA_survey2_power_group
R_33fEGZ0zHNB4sJp,Default Response Set,Anonymous,,,,0,5/2/2019 13:43,5/3/2019 11:04,0,1,1,Safari,12.1,Macintosh,1440x900,-1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",1,,,1,1,,,,,6,,1,11,10,10,11,11,11,11,9.249,15.288,16.412,4,,,,,,,,,,,,,1,8,1,8,8,1,10,10,10,8,11,11,9,9,1,,,,,,,,,,,,,,,,,1,1,0,0,12.062,0,1,12.207,12.207,12.86,1,1,0,0,31.168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,6,6,10,10,6,1,2,2,11,11,8,10,9,9,10,10,10,11,9,6,9,Protectinng consumers from risks coming from food,3.512,33.25,36.056,4,1,9,11,9,11,12,11,7,9,2,4,2,4,9,9,9,12,12,12,1,5,2,3,,,,1,,,,,,,,,1,,,,,,,,,2,,,,1,,,,,,1,,2,2,,2,,,Opinion about EU - treatment,Case - treatment - high risk,,EFSA Reputation barometer,Q9.1|Q9.7|Q9.4|Q9.5|Q9.6|Q9.3|Q9.2,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.12|Q10.8|Q10.13|Q10.5|Q10.15|Q10.9|Q10.10|Q10.11|Q10.7|Q10.14|Q10.6,EFSA_survey2_power_group
R_1IQMyyUJvL62Oqs,Default Response Set,Anonymous,,,,0,5/16/2019 11:26,5/16/2019 11:36,1,1,1,Firefox,66,Windows NT 10.0,1920x1080,-1,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,1,,,1,,,,,,1,,1,6,6,6,10,10,10,10,11.406,14.591,15.376,4,,,,,,,,,,,,,1,7,1,4,4,1,6,6,6,6,10,6,6,6,1,1,1,0,0,9.2,0,1,0,0,24.677,0,1,0,0,40.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,1,1,11,11,6,1,2,2,11,11,9,9,8,8,9,5,6,11,9,8,8,being very slow,0,0,7.844,0,1,5,5,9,9,5,1,11,11,1,1,3,3,12,12,7,12,12,7,1,3,2,3,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,2,,2,,2,,2,"This is a misleading question ""EFSA is a competent regulator."" EFSA is not a regulator at all. It provides opinions to the regulators. ",1,Opinion about EU - treatment,Case - treatment - low risk,,EFSA Reputation barometer,Q9.1|Q9.3|Q9.2|Q9.7|Q9.5|Q9.4|Q9.6,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.15|Q10.12|Q10.10|Q10.11|Q10.6|Q10.8|Q10.7|Q10.13|Q10.14|Q10.5|Q10.9,EFSA_survey2_power_group
R_2BncC3OL6vAq4Os,Default Response Set,Anonymous,,,,0,5/9/2019 17:17,5/9/2019 17:45,0,1,1,Chrome,74.0.3729.131,Windows NT 10.0,1280x720,-1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",1,1,,1,,,1,,,3,,,,,,,,,,,,,,1,11,9,10,11,11,11,11,8.503,18.647,19.753,4,1,1,1,4,3,1,5,5,7,8,7,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9.783,9.783,22.75,1,1,5.235,5.235,17.484,1,1,0,0,19.603,0,,,,,,,,,,,,,,,,,1,11,1,1,11,10,1,1,1,2,11,11,11,11,8,11,10,11,11,11,11,9,11,trust,6.325,6.325,22.822,1,1,12,12,9,9,11,11,11,11,6,6,5,4,1,1,1,1,1,1,1,4,2,2,1,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,1,Danish,2,,2,,2,,2,,,Opinion about EU - control,,Case - control - low risk,EFSA Reputation barometer,Q9.1|Q9.4|Q9.6|Q9.7|Q9.3|Q9.2|Q9.5,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.6|Q10.13|Q10.11|Q10.15|Q10.7|Q10.9|Q10.10|Q10.5|Q10.8|Q10.12|Q10.14,EFSA_survey2_power_group
R_39rbNxIYvzgY27D,Default Response Set,Anonymous,,,,0,5/16/2019 21:43,5/16/2019 22:01,1,1,1,MSIE,11,Windows NT 10.0,1536x864,32.0.0,1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; wbx 1.0.0; Zoom 3.6.0; rv:11.0) like Gecko,1,,,,1,,,,,7,also business association,,,,,,,,,,,,,1,10,10,10,,9,10,,13.612,19.185,22.262,2,1,3,1,4,5,1,8,4,3,3,9,6,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,10.776,0,1,0,0,11.676,0,1,0,0,35.733,0,,,,,,,,,,,,,,,,,1,4,8,7,5,5,7,1,8,8,7,3,4,6,3,7,5,7,7,6,6,6,6,taking too long to assess and take decisions and does not reassure the same decision is implemented throughout Europe,8.71,43.017,78.974,3,1,3,9,3,9,8,10,8,10,1,4,1,2,9,10,12,12,9,12,1,4,2,3,,,1,,,,,,,,1,pharmaceutical sciences,,,,1,,,,,,1,,,,,,,,,2,,2,,2,,2,,1,Opinion about EU - control,,Case - control - low risk,EFSA Reputation barometer,Q9.1|Q9.4|Q9.3|Q9.2|Q9.5|Q9.6|Q9.7,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.9|Q10.6|Q10.8|Q10.7|Q10.11|Q10.5|Q10.13|Q10.12|Q10.15|Q10.10|Q10.14,EFSA_survey2_power_group
R_bO53kM7ZWfG8EWR,Default Response Set,Anonymous,,,,0,5/17/2019 13:33,5/17/2019 13:53,1,1,1,Safari,12.1,Macintosh,1920x1080,-1,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",1,1,,1,1,,,,,1,,1,11,6,6,11,11,11,11,6.854,10.442,12.277,4,,,,,,,,,,,,,1,5,1,5,5,1,11,11,6,3,11,11,9,9,1,,,,,,,,,,,,,,,,,1,1,0,0,8.737,0,1,0,0,7.696,0,1,0,0,26.261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,1,6,7,6,1,1,1,1,5,7,7,7,9,7,6,1,11,11,11,7,"As a NON-REGULATOR, EFSA often (inadvertently?) touches on the area of regulation, which is the domain of the EU Commission & EU Member States, thus giving rise to the global misconception that EFSA ""approves"" REPRO products. EFSA does NOT regulate but has a brief to evaluate & communicate risk. ",2.258,235.364,270.047,16,1,7,11,11,11,11,11,11,11,2,3,3,5,1,1,1,1,1,1,1,5,2,4,,,,,,,,,,,1,Veterinary Science,1,1,1,1,1,1,,,,1,,,,,,,,,,1,,2,2,,2,"I think some of the questions asked failed to allow the responder to add comments, resulting in an ""impossible"" ""black or white"", ""yes or no"" answers. Some EFSA opinions are excellent (e.g. E. faecium safety guidance), but EFSA also makes mistakes, e.g. original Bacillus safety guidances. EFSA has historically failed to engage stakeholders but gas made enormous improvements in this respect in recent years.",1,Opinion about EU - treatment,Case - treatment - high risk,,EFSA Reputation barometer,Q9.1|Q9.6|Q9.2|Q9.4|Q9.3|Q9.7|Q9.5,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.15|Q10.8|Q10.13|Q10.6|Q10.9|Q10.5|Q10.7|Q10.12|Q10.11|Q10.14|Q10.10,EFSA_survey2_power_group
R_3f9CiT22OQmxxqV,Default Response Set,Anonymous,,,,0,5/16/2019 11:07,5/16/2019 11:07,0,1,1,Edge,18.17763,Windows NT 10.0,1920x1080,-1,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFSA_survey2_power_group
R_u9ZtDSxJRSBjlKN,Default Response Set,Anonymous,,,,0,5/16/2019 11:14,5/16/2019 11:28,0,1,1,Chrome,74.0.3729.131,Windows NT 6.1,1366x768,-1,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",1,,,1,,,,,,8,,1,4,5,6,12,7,7,7,9.767,32.991,34.332,5,,,,,,,,,,,,,1,8,1,7,7,1,8,8,7,7,6,7,9,2,1,,,,,,,,,,,,,,,,,1,1,0,0,11.191,0,1,0,0,6.388,0,1,0,0,30.045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,7,6,6,7,1,9,7,7,5,8,9,8,9,6,7,8,7,8,6,7,fighting conflicts of interest. ,3.991,3.991,50.314,1,1,2,8,8,10,1,2,4,11,1,1,1,2,9,9,9,7,7,7,1,3,1,3,,1,,,,,,,,,,,,,,,,,,1,Managing partner,2,,,,1,,,,,,1,,2,2,,2,"What excatly is ""artificial food additive""? Nano-additive or what? / Best regards / ",,Opinion about EU - treatment,Case - treatment - high risk,,EFSA Reputation barometer,Q9.1|Q9.3|Q9.5|Q9.6|Q9.2|Q9.7|Q9.4,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.7|Q10.11|Q10.6|Q10.5|Q10.15|Q10.10|Q10.13|Q10.12|Q10.14|Q10.8|Q10.9,EFSA_survey2_power_group
R_s4C30C66ZlclvG1,Default Response Set,Anonymous,,,,0,5/16/2019 10:56,5/16/2019 11:28,0,1,1,MSIE,11,Windows NT 10.0,1440x900,32.0.0,1,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; rv:11.0) like Gecko,1,1,,1,1,,,,,5,,1,9,11,9,11,11,11,10,16.865,58.193,59.192,6,,,,,,,,,,,,,1,8,1,9,8,1,7,5,6,5,10,5,7,7,1,1,1,0,0,48.078,0,1,39.438,39.438,41.662,1,1,78.78,78.78,79.409,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,6,7,7,7,1,1,5,10,8,9,10,9,8,8,9,8,9,10,10,10, efficiency,9.391,9.391,361.456,1,1,7,12,7,8,9,5,9,10,3,1,3,3,1,1,1,1,1,1,1,4,1,3,,,1,,,,,,,,,,,,,1,,,,,,2,,1,,,,,,,2,,2,,2,,2,,,Opinion about EU - treatment,Case - treatment - low risk,,EFSA Reputation barometer,Q9.1|Q9.6|Q9.2|Q9.5|Q9.4|Q9.3|Q9.7,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.11|Q10.5|Q10.8|Q10.9|Q10.12|Q10.7|Q10.14|Q10.15|Q10.10|Q10.13|Q10.6,EFSA_survey2_power_group
R_2b44CYFUkdDfNsl,Default Response Set,Anonymous,,,,0,5/8/2019 10:24,5/16/2019 12:11,0,1,1,Chrome,74.0.3729.131,Windows NT 10.0,1536x864,-1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",1,,,1,,,,1,,3,,1,10,9,10,10,10,10,10,7.472,9.528,10.316,4,,,,,,,,,,,,,1,10,1,10,9,1,7,5,6,3,4,4,13,3,1,,,,,,,,,,,,,,,,,1,1,0,0,9.499,0,1,1.143,6.293,8.411,12,1,0.35,13.446,16.831,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,5,9,11,7,9,1,4,8,9,6,8,9,9,6,9,9,8,8,9,8,9,"science-based decisions, yet, its methods and procedures might not always be inclusive or up-to-date. ",2.205,38.479,43.674,6,1,9,8,10,10,12,8,8,10,6,6,6,3,7,7,7,9,9,9,1,1,3,3,,,,,,1,1,,,,,,,,1,,,,,,,2,,,,,,,1,,,1,,1,1,,,,,Opinion about EU - treatment,Case - treatment - high risk,,EFSA Reputation barometer,Q9.1|Q9.5|Q9.4|Q9.3|Q9.2|Q9.6|Q9.7,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.13|Q10.7|Q10.10|Q10.9|Q10.15|Q10.5|Q10.14|Q10.8|Q10.12|Q10.11|Q10.6,EFSA_survey2_power_group
R_77D7I7X8QK9vucF,Default Response Set,Anonymous,,,,0,5/16/2019 11:46,5/16/2019 12:21,0,1,1,Chrome,67.0.3396.87,Android 8.0.0,360x640,-1,,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G930F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/9.2 Chrome/67.0.3396.87 Mobile Safari/537.36",1,,,1,,,,,,1,,,,,,,,,,,,,,1,9,6,6,12,10,12,12,5.747,17.503,21.08,6,1,7,1,11,9,1,7,2,6,1,4,1,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opinion about EU - control,,Case - control - low risk,,,,EFSA_survey2_power_group
R_2thS0G1qRgv5Uuv,Default Response Set,Anonymous,,,,0,5/16/2019 12:20,5/16/2019 12:25,0,1,1,MSIE,11,Windows NT 6.1,1344x840,21.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3; Zoom 3.6.0; rv:11.0) like Gecko,1,,,1,,,,,,2,,,,,,,,,,,,,,1,4,3,3,,12,,,14.315,14.315,19.328,1,1,6,1,6,6,1,8,11,6,9,6,5,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opinion about EU - control,,,,,,EFSA_survey2_power_group
R_x4OfjHmURQ07q1P,Default Response Set,Anonymous,,,,0,5/16/2019 11:02,5/16/2019 13:04,0,1,1,Safari,11.1.2,Macintosh,1440x900,32.0.0,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",1,,,1,1,,,,,3,,,,,,,,,,,,,,1,9,6,7,9,9,9,9,21.389,24.534,25.91,4,1,2,1,5,3,1,8,9,8,8,6,9,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,41.607,0,1,0,0,4.018,0,1,0,0,28.052,0,1,10,2,2,6,6,4,1,2,2,10,8,10,10,9,10,9,10,10,10,10,8,10,applying gold standards of science.,4.243,4.243,31.211,1,1,1,5,5,11,3,11,9,11,1,2,3,4,12,9,12,12,11,12,1,4,1,3,,,,,,,,,,,1,Food,,,,1,,,,,,2,,,,,1,,,,,1,,2,2,,2,,,Opinion about EU - control,,Case - control - high risk,EFSA Reputation barometer,Q9.1|Q9.2|Q9.7|Q9.4|Q9.3|Q9.6|Q9.5,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.13|Q10.11|Q10.12|Q10.5|Q10.8|Q10.10|Q10.15|Q10.7|Q10.9|Q10.14|Q10.6,EFSA_survey2_power_group
R_2E0jj91Iu5hVxoG,Default Response Set,Anonymous,,,,0,5/16/2019 15:34,5/16/2019 15:50,0,1,1,Chrome,74.0.3729.131,Windows NT 6.1,1920x1080,-1,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",1,,,1,,,,,,2,,1,11,10,10,10,10,11,11,10.222,21.671,22.782,4,,,,,,,,,,,,,1,3,1,3,3,1,8,10,8,9,10,10,7,8,1,,,,,,,,,,,,,,,,,1,1,50.873,50.873,52.221,1,1,0,0,30.165,0,1,21.544,21.544,86.31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,4,10,10,6,1,2,2,11,10,9,7,9,8,9,7,10,10,8,10,9,"solid risk assessment, transparency, independence.",2.335,35.027,35.929,3,1,8,10,9,10,7,7,11,11,6,6,4,5,2,2,2,2,2,2,1,4,1,3,,,1,,,,,,,,,,1,,,,,,,1,Regulatory Affairs,2,,,,,1,,,,,1,,2,2,,2,,,Opinion about EU - treatment,Case - treatment - high risk,,EFSA Reputation barometer,Q9.1|Q9.5|Q9.6|Q9.3|Q9.7|Q9.4|Q9.2,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.12|Q10.11|Q10.15|Q10.14|Q10.5|Q10.8|Q10.9|Q10.7|Q10.13|Q10.6|Q10.10,EFSA_survey2_power_group
R_1f1l56yccMl75u5,Default Response Set,Anonymous,,,,0,5/17/2019 9:57,5/17/2019 10:42,0,1,1,Chrome,74.0.3729.131,Windows NT 10.0,1280x720,-1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",1,1,,1,1,,,,,5,,,,,,,,,,,,,,1,7,7,4,10,8,7,8,12.064,25.212,30.075,5,1,9,1,10,10,1,7,2,7,2,8,3,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,17.487,0,1,0,0,12.311,0,1,45.675,45.675,46.623,1,,,,,,,,,,,,,,,,,1,5,7,7,5,5,11,1,7,7,7,7,9,9,8,5,6,8,9,11,8,6,7,exaggerating on the level of certainty in their assessment   ,4.004,171.151,204.529,5,1,8,12,9,11,9,12,8,10,2,1,3,4,12,7,7,12,7,7,1,3,3,4,,,1,1,,,,,,,,,1,,,1,,,,,,2,,,,,,,1,,2,,2,,2,,2,"I found that the survey was vague at some points. For example, if the methodologies used by a European agency are actually co-written/co-developed by scientists paid by industry sector, then even if the agency applies the methodologies correctly, the assessment will be biased. Also the new technologies always depend on how you will use them. You may use artificial intelligence to help the public sector and improve human and environmental well being or you may use them to increase profit even if this promotes biodiversity collapse or poverty in certain areas of the world.   ",,Opinion about EU - control,,Case - control - low risk,EFSA Reputation barometer,Q9.1|Q9.6|Q9.4|Q9.7|Q9.5|Q9.2|Q9.3,Q10.1|Q10.2|Q10.3|Q10.4|Q105|Q10.9|Q10.8|Q10.14|Q10.5|Q10.11|Q10.13|Q10.10|Q10.6|Q10.12|Q10.7|Q10.15,EFSA_survey2_power_group
R_1cZaWIeqqIhIGuD,Default Response Set,Anonymous,,,,0,3/12/2019 8:49,3/12/2019 9:00,1,1,1,Firefox,60,Windows NT 6.1,1920x1200,32.0.0,,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0,1,1,,,,,,,,6,,,,,,,,,,,,,,1,9,10,9,9,9,9,9,5.408,10.086,11.001,4,1,4,1,7,7,1,8,4,9,4,6,2,9,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,21.215,0,1,0,0,17.749,0,1,0,0,43.332,0,,,,,,,,,,,,,,,,,1,4,9,11,11,6,11,1,9,11,9,,11,9,9,6,11,11,9,9,9,11,9,Regulation of pesticides,7.063,7.063,23.164,1,1,8,1,9,1,11,1,11,12,1,1,1,1,11,11,11,11,11,11,1,4,1,4,,,,1,,,,,,,,,1,,,,,,,,,2,,1,,,,,,,2,,2,,2,,2,,1,Opinion about EU - control,,Case - control - low risk,EFSA Reputation barometer,Q9.1|Q9.4|Q9.5|Q9.6|Q9.2|Q9.3|Q9.7,Q10.1|Q10.2|Q10.3|Q10.4|Q10.9|Q10.14|Q10.5|Q10.10|Q10.8|Q10.12|Q10.7|Q10.13|Q10.15|Q10.6|Q10.11,EFSA_SURVEY_06
R_SOVWyFdNb5kqVa1,Default Response Set,Anonymous,,,,0,3/12/2019 10:34,3/12/2019 10:56,1,1,1,Firefox,65,Windows NT 10.0,1920x1080,-1,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:65.0) Gecko/20100101 Firefox/65.0,1,,,,1,,,,,2,,,,,,,,,,,,,,1,8,8,8,9,8,9,8,17.036,76.86,78.078,7,1,9,1,11,11,1,8,4,7,2,8,2,9,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,22.496,0,1,0,0,41.751,0,1,30.414,34.405,215.4,3,,,,,,,,,,,,,,,,,1,5,8,9,5,5,11,1,7,8,6,,7,7,6,6,6,6,6,7,8,6,6,a high responsibility,30.731,30.731,35.287,1,1,12,12,12,12,5,8,8,8,1,1,1,1,7,7,7,9,9,9,1,3,2,2,1,,,,,,,,,,,,,,,,,,1,,,2,,1,,,,,,,2,,2,,2,,2,,1,Opinion about EU - control,,Case - control - low risk,EFSA Reputation barometer,Q9.1|Q9.7|Q9.2|Q9.4|Q9.3|Q9.5|Q9.6,Q10.1|Q10.2|Q10.3|Q10.4|Q10.10|Q10.8|Q10.9|Q10.15|Q10.5|Q10.11|Q10.6|Q10.12|Q10.14|Q10.13|Q10.7,EFSA_SURVEY_06
